"COMID","drywet_mean","drywet_stdev","FAXVIR_mean","FAXVIR_stdev"
2428162,0.37202380952381,0.484065567932982,0.0206896551724138,0.142589279613793
2428166,0.836309523809524,0.370546284133502,0.0586206896551724,0.235319471250672
2428168,0.821428571428571,0.383564251698769,0.162068965517241,0.36915108177934
2428170,0.797619047619048,0.402373908081478,0.313793103448276,0.464835527657194
2428172,0.330357142857143,0.471043164808711,0.0379310344827586,0.191359718697804
2428174,0.351190476190476,0.478054277220409,0.0241379310344828,0.153742634029068
2428176,0.360119047619048,0.480750642033071,0.0413793103448276,0.199510198470255
2428178,0.366071428571429,0.482447783225756,0.0344827586206897,0.18278101948996
2428180,0.294642857142857,0.456561964351073,0.0758620689655172,0.265234990690071
2428182,0.550595238095238,0.49817542001948,0.0379310344827586,0.191359718697804
2428184,0.330357142857143,0.471043164808711,0.0448275862068966,0.207282978429013
2428186,0.279761904761905,0.449551620572483,0.120689655172414,0.326329392195912
2428188,0.824404761904762,0.381042877488504,0.193103448275862,0.395415802771581
2428190,0.258928571428571,0.438699619417158,0.0620689655172414,0.241697848353228
2428192,0.318452380952381,0.466570834916108,0.1,0.300518582928113
2428194,0.5,0.50074571256948,0.0379310344827586,0.191359718697804
2428196,0.532738095238095,0.499671178301308,0.0517241379310345,0.22185236160474
2428198,0.836309523809524,0.370546284133502,0.186206896551724,0.389946441119665
2428200,0.321428571428571,0.467721419464635,0.0310344827586207,0.173710669593725
2428202,0.794642857142857,0.404564837682572,0.0344827586206897,0.18278101948996
2428204,0.375,0.484844951366591,0.0620689655172414,0.241697848353228
2428206,0.354166666666667,0.478973300806603,0.0517241379310345,0.22185236160474
2428208,0.232142857142857,0.422829336952432,0.0724137931034483,0.259619833488468
2428210,0.824404761904762,0.381042877488504,0.0620689655172414,0.241697848353228
2428212,0.267857142857143,0.44350320849891,0.0275862068965517,0.164067147457484
2428214,0.854166666666667,0.353465431047045,0.0551724137931034,0.228711157795233
2428216,0.303571428571429,0.460485513686983,0.0310344827586207,0.173710669593725
2428218,0.836309523809524,0.370546284133502,0.0517241379310345,0.22185236160474
2428220,0.380952380952381,0.486345173283753,0.0172413793103448,0.130394571599393
2428222,0.821428571428571,0.383564251698769,0.0551724137931034,0.228711157795233
2428224,0.142857142857143,0.350448996194741,0.0689655172413793,0.253833512551086
2428226,0.470238095238095,0.499857833377848,0.0482758620689655,0.214719080424608
2428228,0.363095238095238,0.481609183703968,0.0344827586206897,0.18278101948996
2428230,0.764880952380952,0.424705675919799,0.0413793103448276,0.199510198470255
2428232,0.366071428571429,0.482447783225756,0.0551724137931034,0.228711157795233
2428234,0.55952380952381,0.497184682373299,0.179310344827586,0.384275087403788
2428236,0.398809523809524,0.490383717588778,0.0482758620689655,0.214719080424608
2428238,0.303571428571429,0.460485513686983,0.0482758620689655,0.214719080424608
2428240,0.720238095238095,0.449551620572483,0.0655172413793104,0.2478640408504
2428242,0.163690476190476,0.370546284133502,0.0793103448275862,0.270689636172811
2428244,0.205357142857143,0.404564837682572,0.0827586206896552,0.275993287011839
2428246,0.383928571428571,0.487066192092763,0.0758620689655172,0.265234990690071
2428248,0.306547619047619,0.461747476499889,0.0551724137931034,0.228711157795233
2428250,0.773809523809524,0.418987848680439,0.0896551724137931,0.286180947412183
2428254,0.25297619047619,0.435365771111252,0.0344827586206897,0.18278101948996
2428256,0.273809523809524,0.446577444970956,0.0586206896551724,0.235319471250672
2428258,0.866071428571429,0.341083498709164,0.0482758620689655,0.214719080424608
2428260,0.773809523809524,0.418987848680439,0.124137931034483,0.330308833587413
2428262,0.241071428571429,0.428371488542552,0.0379310344827586,0.191359718697804
2428264,0.208333333333333,0.406722123288295,0.0482758620689655,0.214719080424608
2428266,0.824404761904762,0.381042877488504,0.0551724137931034,0.228711157795233
2428268,0.133928571428571,0.341083498709164,0.103448275862069,0.305069914978024
2428270,0.8125,0.390894496587873,0.0551724137931034,0.228711157795233
2428272,0.830357142857143,0.375878501896069,0.0896551724137931,0.286180947412183
2428274,0.62202380952381,0.485604789280041,0.106896551724138,0.309515789360576
2428276,0.821428571428571,0.383564251698769,0.0793103448275862,0.270689636172811
2428278,0.160714285714286,0.367814962286577,0.0482758620689655,0.214719080424608
2428280,0.4375,0.496818234577753,0.0551724137931034,0.228711157795233
2428282,0.175595238095238,0.381042877488504,0.0758620689655172,0.265234990690071
2428284,0.172619047619048,0.378481235316695,0.0758620689655172,0.265234990690071
2428286,0.794642857142857,0.404564837682572,0.110344827586207,0.313860687569385
2428288,0.836309523809524,0.370546284133502,0.137931034482759,0.345423658538061
2428292,0.842261904761905,0.365038869132119,0.268965517241379,0.444188500990696
2428294,0.80952380952381,0.393262374190314,0.23448275862069,0.424407473843187
2428296,0.336309523809524,0.473150835214575,0.0413793103448276,0.199510198470255
2428298,0.294642857142857,0.456561964351073,0.0793103448275862,0.270689636172811
2428300,0.101190476190476,0.302030559932115,0.0896551724137931,0.286180947412183
